domain;dois_number;mean_visibility_index;visibility_index;h_index
https://www.youtube.com/;2;61.459489999999995;61.459489999999995;0.0
https://www.researchgate.net/;9;4.291296666666667;4.291296666666667;0.0
https://onlinelibrary.wiley.com/;23;2.0512433333333333;2.0512433333333333;1.0
https://www.degruyter.com/;581;2.03418;2.03418;5.0
https://www.fao.org/;216;1.2808833333333334;1.2808833333333332;1.0
https://www.cambridge.org/;3;0.9117566666666667;0.9117566666666667;0.0
https://www.fs.usda.gov/;24;0.7804933333333334;0.7804933333333334;1.0
https://www.science.org/;171;0.7701666666666667;0.7701666666666667;4.0
https://www.erudit.org/;4;0.46204999999999996;0.46204999999999996;0.0
https://www.ahajournals.org/;116;0.30581;0.30581;0.0
https://quod.lib.umich.edu/;15;0.30573;0.30573;0.0
https://jyx.jyu.fi/;8;0.28148;0.28148;1.0
https://www.oecd-ilibrary.org/;2119;0.27634000000000003;0.27634000000000003;14.0
https://psycnet.apa.org:443/;22455;0.18240999999999996;0.18241;8.0
https://riunet.upv.es/;3;0.18186666666666665;0.18186666666666665;1.0
https://dl.acm.org/;14;0.17083;0.17083;3.0
https://www.gbif.org/;1;0.16277666666666668;0.16277666666666668;0.0
https://www.aeaweb.org/;1;0.14786;0.14786;0.0
https://www.zora.uzh.ch/;1;0.13004000000000002;0.13004000000000002;0.0
https://www.uvm.edu/;1;0.12590666666666667;0.12590666666666667;0.0
https://referenceworks.brillonline.com/;14978;0.12233666666666666;0.12233666666666668;97.0
https://www.oxfordbibliographies.com/;150;0.11213666666666669;0.11213666666666668;3.0
https://pubs.rsna.org/;7;0.10270333333333333;0.10270333333333333;0.0
https://www.maxwell.vrac.puc-rio.br/;1;0.10127;0.10127;0.0
https://www.ncei.noaa.gov/;10;0.10116;0.10116;1.0
https://digital.csic.es/;17;0.09899666666666665;0.09899666666666665;0.0
https://digibug.ugr.es/;6;0.09178000000000001;0.09178;1.0
https://www.iucnredlist.org/;959;0.07207000000000001;0.07207000000000001;2.0
https://gredos.usal.es/;1;0.07143000000000001;0.07143000000000001;0.0
https://refubium.fu-berlin.de/;1;0.06807666666666666;0.06807666666666666;0.0
https://www.research-collection.ethz.ch/;21;0.06504;0.06504;1.0
https://riuma.uma.es/;2;0.060860000000000004;0.060860000000000004;0.0
https://ddd.uab.cat/;2;0.0593;0.0593;1.0
https://www.healthaffairs.org/;2112;0.04331;0.04331;2.0
https://publikationen.bibliothek.kit.edu/;1;0.039836666666666666;0.039836666666666666;0.0
https://edoc.hu-berlin.de/;2;0.03353;0.03353;0.0
https://www.accessscience.com/;54;0.03325;0.03325;0.0
https://www.schwabeonline.ch/;9;0.03268;0.03268;0.0
https://www.icpsr.umich.edu/;2395;0.029256666666666667;0.029256666666666667;0.0
https://osf.io/;2;0.027370000000000002;0.027370000000000002;0.0
http://pubsonline.informs.org/;287;0.026956666666666667;0.026956666666666667;1.0
https://zenodo.org/;22;0.025493333333333333;0.025493333333333333;1.0
https://www.editage.com/;55;0.023916666666666666;0.023916666666666666;1.0
https://public.tableau.com/;1;0.0214;0.0214;0.0
https://researchdata.bbk.ac.uk/;1;0.020013333333333334;0.020013333333333334;0.0
https://www.cosmos.esa.int/;1;0.01896666666666667;0.01896666666666667;0.0
https://rio.upo.es/;1;0.016623333333333334;0.016623333333333334;0.0
https://riubu.ubu.es/;8;0.01571;0.01571;0.0
https://publons.com/;9;0.015483333333333333;0.015483333333333333;0.0
https://www.compadre.org/;3;0.015213333333333334;0.015213333333333334;0.0
http://digital.ucd.ie/;2;0.01473;0.01473;0.0
https://access.clarivate.com/;28;0.01408;0.01408;1.0
http://amsacta.unibo.it/;23;0.012083333333333333;0.012083333333333333;0.0
https://norden.diva-portal.org/;1;0.01201;0.01201;0.0
https://www.protocols.io/;161;0.010716666666666668;0.010716666666666668;2.0
https://www.un-ilibrary.org/;1;0.0101;0.0101;0.0
https://peerj.com/;80;0.009166666666666665;0.009166666666666665;0.0
https://pdxscholar.library.pdx.edu/;7;0.008033333333333333;0.008033333333333333;0.0
https://www.crossref.org/;650;0.0070533333333333325;0.007053333333333333;0.0
https://www.authorea.com/;393;0.007026666666666666;0.007026666666666666;3.0
https://ses.library.usyd.edu.au/;6;0.006896666666666666;0.006896666666666666;1.0
https://f1000research.com/;11;0.00663;0.00663;0.0
https://digitalcommons.chapman.edu/;3;0.006563333333333333;0.006563333333333333;0.0
https://search.gesis.org/;1;0.006393333333333334;0.006393333333333334;0.0
https://figshare.com/;75;0.006206666666666667;0.006206666666666667;1.0
https://sedac.ciesin.columbia.edu/;1;0.005860000000000001;0.005860000000000001;3.0
https://doi.org/;115;0.005790000000000001;0.00579;1.0
https://datadryad.org/;21;0.005366666666666667;0.005366666666666667;1.0
https://datadryad.org:443/;1;0.005366666666666667;0.005366666666666667;0.0
https://eprints.soton.ac.uk/;35;0.005033333333333333;0.005033333333333333;1.0
https://www.isrctn.com/;1102;0.004866666666666667;0.004866666666666667;1.0
https://www.sciencebase.gov/;3;0.004623333333333333;0.004623333333333333;0.0
https://dataverse.harvard.edu/;74;0.004586666666666667;0.004586666666666667;2.0
https://repository.si.edu/;1;0.00436;0.00436;0.0
https://espace.library.uq.edu.au/;7;0.00424;0.00424;0.0
https://demonstrations.wolfram.com/;391;0.0041;0.0041;0.0
https://genome.jgi.doe.gov/;12;0.00404;0.00404;0.0
https://www.repository.cam.ac.uk/;64;0.0038366666666666666;0.0038366666666666666;2.0
https://conservancy.umn.edu/;26;0.00376;0.00376;1.0
